6,31,12,80,30,72,94,63,19,16,15,92,63,11,29,26,38,88,60,95,93,37,97,29,6,55,55,93,43,7,58,52,11,62,32,62,22,48,23,84,53,56,0,2,11,59,71,58,74,26,40,0,26,76,45,61,67,87,74,18,91,51,74,70,7,93,67,20,24,0,21,76,41,45,57,85,81,81,79,15,81,20,56,86,95,2,32,88,86,56,79,67,91,21,22,55,12,57,55,86
99,70,33,36,64,2,70,40,72,84,82,6,2,22,54,90,31,52,23,39,67,94,17,82,97,67,15,56,77,13,46,68,55,43,95,29,79,21,72,82,68,26,70,61,26,68,15,36,14,85,14,24,75,24,47,46,98,62,30,91,13,31,91,18,14,77,6,43,59,42,93,26,46,69,69,71,98,79,51,73,84,48,52,65,37,58,27,85,35,76,60,65,96,77,39,18,30,60,27,25
33,72,76,60,38,10,43,41,24,34,35,88,73,67,67,38,27,70,99,77,57,85,19,71,75,60,40,38,1,73,50,81,0,61,63,88,1,57,40,91,76,90,83,88,50,45,71,14,16,84,1,85,22,24,65,71,11,35,56,77,96,17,88,40,37,54,90,36,15,42,60,38,95,85,25,49,61,47,72,53,45,74,49,82,49,85,87,34,36,15,4,33,80,27,84,48,46,14,78,13
96,80,76,98,20,61,97,11,84,69,15,58,28,58,43,14,13,92,28,90,16,55,34,47,67,19,9,36,28,73,41,84,49,88,93,51,98,99,93,32,63,93,16,96,29,11,29,53,59,22,71,69,17,21,65,15,25,32,21,17,74,48,51,86,96,13,93,73,3,95,68,12,65,89,86,66,70,87,32,10,66,10,6,33,86,37,7,40,32,46,36,89,89,36,42,17,1,21,54,62
48,25,12,68,7,13,48,90,41,61,89,48,81,90,41,27,22,54,16,9,18,58,14,53,50,38,54,65,62,98,56,30,37,62,43,20,46,33,67,24,56,81,18,31,28,7,89,37,90,53,35,1,74,11,82,94,77,9,61,77,6,27,94,63,39,37,41,18,94,52,2,37,42,65,85,62,64,2,57,61,19,72,44,23,44,16,8,9,27,1,98,68,88,52,3,93,48,63,89,97
48,61,28,15,12,17,25,51,38,49,94,31,1,64,61,66,74,38,66,75,67,43,71,57,69,99,26,37,0,5,66,35,40,10,31,90,52,53,24,93,36,57,98,75,7,58,36,32,84,57,22,72,80,17,58,35,0,12,25,64,64,26,99,69,71,85,44,76,24,99,91,20,53,6,72,4,94,68,64,12,39,76,85,41,84,46,62,48,74,26,83,50,17,35,42,4,41,35,66,51
40,54,6,53,78,3,75,80,30,28,2,93,98,65,71,26,1,27,70,67,5,67,41,94,55,31,66,84,12,73,19,46,2,62,99,58,87,58,80,68,60,44,66,6,74,27,86,38,39,26,54,84,78,9,91,88,26,90,63,4,82,99,52,46,87,23,49,85,28,66,52,4,64,80,75,48,49,44,60,12,86,54,16,95,84,51,42,53,31,96,58,33,43,75,4,31,23,53,77,24
89,83,21,39,85,67,7,96,23,79,38,87,34,62,18,19,97,30,24,97,3,64,16,79,70,78,20,58,25,3,22,47,39,79,18,50,90,15,65,18,1,21,52,80,41,17,94,84,90,92,13,97,31,19,46,34,7,38,83,69,82,4,77,73,20,5,16,30,82,26,88,56,40,11,67,93,64,78,53,69,2,82,30,73,64,97,51,92,42,6,2,5,17,7,75,98,73,92,14,38
29,95,70,1,80,30,58,31,25,94,39,68,65,87,50,8,2,61,60,29,88,39,37,76,99,48,3,22,74,93,88,88,64,45,88,18,71,35,35,35,61,9,89,48,51,34,81,98,52,25,83,12,11,92,56,65,25,91,4,44,51,71,66,88,2,6,87,22,63,45,68,85,74,39,24,62,40,40,97,53,23,79,15,62,44,37,7,99,58,49,5,98,17,71,67,10,64,43,27,31
28,6,29,38,44,90,42,2,69,25,77,27,36,24,72,66,84,38,14,16,88,73,97,78,17,80,44,59,57,72,39,88,4,74,65,44,31,23,75,83,46,41,30,58,1,93,64,27,27,65,98,87,41,94,25,1,6,30,70,13,65,61,95,89,32,45,25,35,92,66,41,22,51,86,75,82,97,39,87,47,70,93,1,42,60,47,74,78,12,78,85,27,74,55,11,51,75,58,60,95
60,5,96,22,90,85,55,27,78,38,55,35,3,77,38,94,74,78,23,72,11,14,8,30,25,89,54,74,74,40,12,94,10,22,73,25,89,55,96,27,28,49,85,97,83,56,43,1,10,88,84,43,74,19,19,68,40,85,32,6,35,47,53,45,71,4,14,20,21,97,81,70,59,28,22,76,13,71,66,31,10,96,62,31,78,96,70,65,15,15,48,28,31,4,39,77,40,84,37,36
24,4,35,45,95,67,95,98,76,38,34,12,81,81,5,65,62,42,23,72,54,97,10,49,16,86,1,78,79,90,40,35,96,65,64,25,99,19,43,1,56,71,15,81,0,38,60,18,51,95,76,1,87,72,56,45,54,17,48,48,97,87,62,7,59,28,99,29,58,41,59,46,52,48,57,19,40,21,7,31,97,79,18,63,4,60,75,60,96,93,26,90,24,58,51,55,70,60,98,52
31,20,70,71,16,75,25,55,95,50,24,7,70,83,9,73,27,83,78,50,57,34,59,49,33,66,28,9,44,48,91,76,97,46,97,77,74,1,60,74,36,39,48,83,7,70,84,15,46,52,79,5,57,80,44,95,39,17,12,25,52,59,34,16,41,60,22,15,5,22,80,0,58,73,60,26,67,10,19,0,81,0,60,54,19,6,66,55,42,72,60,21,35,3,77,74,41,27,94,52
6,32,16,59,60,62,23,21,27,36,68,13,73,51,39,26,22,33,95,2,90,19,94,81,43,4,81,19,50,28,65,63,68,74,0,90,47,29,53,86,20,79,12,65,28,53,87,6,51,57,94,29,83,40,58,35,25,52,17,74,0,86,95,41,18,75,12,50,17,30,65,92,40,61,61,91,10,32,38,31,38,73,39,91,36,35,61,23,48,79,19,7,26,85,17,54,17,15,76,37
96,70,90,31,33,73,92,55,50,90,89,9,77,65,81,70,89,89,98,82,27,3,44,14,78,87,55,61,73,81,87,40,30,1,56,93,61,63,35,4,84,57,40,50,21,77,15,37,51,97,89,16,23,18,37,60,92,37,70,21,63,66,80,39,62,15,58,73,20,96,16,19,42,40,90,79,13,79,83,16,82,54,52,5,94,6,38,33,64,44,77,20,0,91,45,87,74,19,6,87
26,77,86,29,98,25,37,15,13,4,58,13,66,26,17,87,70,23,17,64,69,44,27,66,26,14,56,12,80,64,29,69,93,93,31,6,98,56,10,72,80,28,78,54,18,23,72,45,53,51,85,31,33,80,70,34,9,61,35,66,91,62,42,21,10,28,87,6,31,10,17,8,36,9,72,96,87,95,48,85,82,49,69,64,17,76,22,95,57,48,85,1,80,76,80,55,67,35,24,17
17,43,71,53,48,91,33,22,61,93,73,67,68,3,48,75,11,21,17,16,36,10,39,47,70,2,17,98,45,92,81,63,89,40,93,51,25,58,80,89,58,73,41,99,68,62,48,98,20,43,24,28,78,67,80,94,77,21,2,18,64,20,10,38,25,41,71,39,8,3,75,69,87,7,20,60,31,92,18,46,0,50,8,14,23,6,17,78,78,78,5,88,51,37,23,15,33,12,53,66
72,61,34,16,13,85,85,80,79,20,60,39,51,94,22,30,92,13,44,68,88,12,10,93,19,7,81,51,21,94,68,25,25,79,78,74,25,59,64,9,15,70,5,40,67,97,55,39,49,26,5,92,85,61,97,63,93,9,49,16,60,37,71,12,4,79,83,6,68,94,91,93,14,2,96,93,51,93,82,46,67,79,79,24,0,0,36,90,11,80,74,9,96,45,42,64,94,13,83,47
15,2,61,63,5,95,54,95,79,26,26,53,67,47,6,59,68,29,86,24,81,90,24,77,9,60,78,66,79,22,61,58,10,14,25,7,85,61,99,94,73,14,66,56,60,77,25,54,4,33,12,26,5,51,12,77,75,32,16,78,54,49,54,57,32,85,88,98,81,23,7,98,32,51,30,67,36,19,88,10,29,47,3,79,9,4,4,64,60,74,77,39,54,27,22,24,20,43,84,71
0,7,91,47,98,41,71,53,56,1,35,87,42,65,95,61,3,2,53,14,93,7,92,5,3,13,76,55,32,16,19,78,70,46,25,90,23,97,30,51,83,26,70,51,75,7,19,67,50,22,2,68,69,86,96,13,7,37,11,43,1,74,44,39,2,54,56,71,56,10,87,11,87,52,81,27,43,51,12,37,54,48,10,96,77,58,87,21,2,11,32,27,17,73,43,2,63,21,46,79
56,55,27,31,3,95,32,40,80,38,28,59,87,51,92,92,75,95,43,15,95,76,70,51,83,34,11,50,1,87,71,86,45,90,47,46,39,72,76,39,3,86,92,68,2,87,63,86,75,35,74,92,8,78,13,64,36,48,70,1,72,29,30,70,70,71,53,71,88,12,47,66,57,98,22,28,36,92,67,17,9,24,58,45,57,20,96,90,16,82,45,54,51,46,87,80,25,63,8,0
72,88,5,80,29,55,72,97,97,72,70,31,9,94,92,40,70,70,77,82,14,47,31,50,59,25,46,20,9,58,97,46,88,1,60,29,33,94,49,33,4,59,13,61,92,61,41,13,17,75,60,74,47,80,82,30,94,6,24,48,31,29,52,76,40,42,65,82,54,14,25,82,23,15,91,64,22,19,75,30,78,95,9,71,19,97,83,75,26,3,7,60,75,90,14,72,24,43,76,15
95,99,31,68,24,60,36,31,45,29,60,15,51,11,94,79,5,28,25,39,76,21,58,91,28,7,64,9,52,60,69,11,93,63,52,78,97,5,24,42,78,64,99,84,71,65,46,79,29,6,62,19,29,42,86,6,0,16,30,4,90,30,62,94,86,74,54,57,3,52,21,2,67,51,36,81,9,81,12,15,72,36,32,50,35,63,84,87,38,66,62,96,57,6,70,34,70,21,40,92
77,46,60,45,66,4,37,37,97,45,84,10,8,9,91,12,73,19,95,96,71,65,5,90,6,21,47,52,28,16,28,2,44,58,96,76,67,0,0,81,98,57,42,17,7,54,38,15,79,38,11,46,36,38,15,44,83,67,8,86,0,13,71,51,16,66,74,20,99,35,79,72,49,80,81,64,54,32,41,13,8,44,38,25,52,46,34,81,24,36,58,3,57,35,87,14,67,82,86,86
52,54,79,61,10,60,36,18,8,21,70,18,72,58,81,74,57,80,27,51,40,6,58,19,65,61,12,75,31,36,87,0,68,28,51,66,89,75,78,63,66,79,87,24,18,0,18,54,89,37,84,40,64,93,98,85,20,21,56,44,34,81,63,52,84,48,50,99,31,1,20,21,31,5,75,37,2,79,78,90,73,71,49,5,51,59,23,4,49,90,1,33,27,62,75,46,46,60,68,3
